?,Breed,Alias,BreedAdultPicture,,MinWeightMale,MinWeightFemale,MaxWeightMale,MaxWeightFemale,Size,MinHeightMale,MinHeightFemale,MaxHeightMale,MaxHeightFemale,MinLifeExpectancy,MaxLifeExpectancy,Group,GoodWithKids,CatFriendly,DogFriendly,Trainability,Shedding,Watchdog,Intelligence,Grooming,Popularity,Adaptability,HypoAllergenic,MinPuppyCost,MaxPuppyCost
,American White Shepherd,"White German Shepherd Dog, Berger Blanc Suisse, American White Shepherd, WS, WGSD",,,,,,,Medium,,,,,12,14,Herding,,,,,,,,,,,,600,800
,Austrian Black And Tan Hound,"Österreichische Glatthaarige, Bracke, Austrian Smooth-haired Hound, Brandlbracke, Bracke, Vieräugl",,,,,,,Medium,,,,,12,14,Hound,,,,,,,,,,,,300,600
,American Bulldog,,,,,,,,Large,,,,,11,14,"Working,Guard",,,,,,,,,,,,700,900
,Aidi,"Aïdi, Atlas Mountain Dog, Atlas Shepherd Dog, Chien de l'Atlas, Chien de Montagne de l'Atlas",,,,,,,Medium,,,,,10,11,Guard,,,,,,,,,,,,300,300
,Alaskan Malamute,"Mal, Mally",,,,,,,Large,,,,,13,16,Working,,,,,,,,,,,,700,1500
,Australian Bulldog,Aussie Bulldog,,,,,,,Medium,,,,,8,10,Non-sporting,,,,,,,,,,,,500,600
,Affenpinscher,"Affen, Affie, Monkey Dog",,,6.5,,13.2,,Small,9,,12,,11,14,Toy,1,3,3,3,2,5/R1,3.5,3,1/R141,2,Yes,300,500
,American Hairless Terrier,AHT,,,5,,16,,Small,7,,16,,10,12,Terrier,,,,,,,,,,,,300,500
,American Staghound,Staghound,,,,,,,Large,,,,,12,14,Sighthound,,,,,,,,,,,,,
,American Mastiff,Mastiff Dog,,,,,,,Large,,,,,10,12,Working,,,,,,,,,,,,1000,1500
American Akita is known as Akita,Akita,"Akita Inu, Japanese Akita, American Akita, Great Japanese Dog ",,,,,,,Large,,,,,11,15,Working,,,,,,,,,,,,600,1000
,Austrian Pinscher,"Österreichischer, Kurzhaarpinscher, Austrian Shorthaired Pinscher",,,,,,,Medium,,,,,12,14,Terrier,,,,,,,,,,,,300,600
,Australian Silky Terrier,Silky,,,,,,,Small,,,,,12,15,"Toy,Terrier",,,,,,,,,,,,500,600
,Australian Shepherd,"Aussie, Little Blue Dog",,,,,,,Medium,,,,,13,15,Herding,,,,,,,,,,,,500,600
,Africanis,"African Dog, Bantu Dog, Hottentot Hunting Dog, Khoikhoi Dog, Zulu Dog, Umbwa Wa Ki-Shenzi",,,,,,,Medium,,,,,9,12,"Herding,Working",,,,,,,,,,,,500,500
,Australian Kelpie,"Kelpie, Barb",,,,,,,Medium,,,,,10,14,Herding,,,,,,,,,,,,500,600
,Airedale Terrier,"Waterside Terrier, Bingley Terrier,Irish Red Terrier",,,,,,,Small,,,,,11,12.5,Terrier,,,,,,,,,,,,600,750
,Alapaha Blue Blood Bulldog,"Otto Bulldog, Catahoula Bulldog",,,,,,,Medium,,,,,12,15,"Working,Guard",,,,,,,,,,,,800,1200
,African Wild Dog,"African hound, Three-color jackal",,,,,,,Medium,,,,,10,12,Feral,,,,,,,,,,,,500,600
,American Eskimo Dog,"Eskimo Spitz, American Spitz, German Spitz, Eskie",,,,,,,Medium,,,,,12,15,Non-sporting,,,,,,,,,,,,600,750
,Akbash Dog,"Akba? Çoban Köpe?i, Akbash",,,,,,,Large,,,,,10,12.5,Working,,,,,,,,,,,,600,750
Anatolian Shepherd Dog labeled as Anatol Shepherd,Anatol Shepherd,"Kham Kepiji dogs, Karabash in dogs, Scandinavian Nygaard dogs",,,,,,,Large,,,,,13,15,Working,,,,,,,,,,,,600,900
,Alopekis,"Alopecis, Alepouditsa, Bobis, Bouboudi, Moropa, Venetaki",,,,,,,Small,,,,,12,18,Working,,,,,,,,,,,,300,400
,Australian Terrier,Aussie,Aussie,,,,,,Small,,,,,12,15,Terrier,,,,,,,,,,,,600,900
,Azawakh,"Idi, Hanshee, Oska, Rawondu, Bareeru, Wulo, Tuareg Sloughi",,,,,,,Large,,,,,10,12,"Hound,Sighthound",,,,,,,,,,,,2000,2500
,Ariegeois,Ariege Hound,,,,,,,Medium,,,,,12,14,"Hunting,Hound",,,,,,,,,,,,,
,American Foxhound,Foxhound,,,,,,,Large,,,,,10,12,Hound,,,,,,,,,,,,400,550
,Beagle,English Beagle,,,,,,,Small,,,,,11,15,Hound,,,,,,,,,,,,500,800
,Bulldog,English Bulldog,,,,,,,Medium,,,,,8,12,Non-sporting,,,,,,,,,,,,1200,2000
,Boxer,"German Boxer, Deutscher Boxer",,,,,,,Medium,,,,,9,12,Working,,,,,,,,,,,,600,1200
,Bearded Collie,"Highland Collie, Mountain Collie, Hairy Mou'ed Collie, Argle Bargle, Beardie",,,,,,,Medium,,,,,14,15,Herding,,,,,,,,,,,,1000,1500
,Berger Picard,"Berger de Picardie, Picardy Shepherd",,,,,,,Medium,,,,,12,13,Herding,,,,,,,,,,,,2000,2500
,Beauceron,"French Shorthaired Shepherd, Beauce Shepherd, Berger de Beauce, Bas Rouge, Red Stocking",,,,,,,Large,,,,,10,13,Herding,,,,,,,,,,,,1000,1500
,Bull Terrier,"English Bull Terrier, Bully, Gladiator",,,,,,,Medium,,,,,11,14,Terrier,,,,,,,,,,,,1000,1500
,Basset Artesien Normand,BAN,,,,,,,Small,,,,,12,15,Hound,,,,,,,,,,,,300,400
,Brussels Griffon,"Griffon Bruxellois, Belgium Griffon, Petit Brabançon, Griffon, Griff, Bruss",,,,,,,Small,,,,,12,15,Toy,,,,,,,,,,,,600,800
,Basset Fauve De Bretagne,Fawn Brittany Basset,,,,,,,Small,,,,,11,14,Hound,,,,,,,,,,,,1500,1500
